TimeStamp,Velocity,DesiredVelocity,ControllerOutput,Acceleration
23.5,10.8069,10,464.536,-0.0758105
23.6,10.7993,10,464.131,-0.0758362
23.7,10.7918,10,463.744,-0.0758445
23.8,10.7842,10,463.373,-0.0758357
23.9,10.7766,10,463.019,-0.0758102
24,10.769,10,462.682,-0.0757685
24.1,10.7614,10,462.361,-0.0757109
24.2,10.7539,10,462.055,-0.0756378
24.3,10.7463,10,461.765,-0.0755496
24.4,10.7387,10,461.491,-0.0754466
24.5,10.7312,10,461.231,-0.0753292
24.6,10.7237,10,460.986,-0.0751978
24.7,10.7161,10,460.755,-0.0750527
24.8,10.7086,10,460.538,-0.0748943
24.9,10.7012,10,460.335,-0.0747229
25,10.6937,10,460.145,-0.0745388
25.1,10.6862,10,459.969,-0.0743424
25.2,10.6788,10,459.806,-0.074134
25.3,10.6714,10,459.655,-0.073914
25.4,10.664,10,459.517,-0.0736826
25.5,10.6566,10,459.391,-0.0734401
25.6,10.6493,10,459.277,-0.073187
25.7,10.642,10,459.174,-0.0729234
25.8,10.6347,10,459.084,-0.0726497
25.9,10.6274,10,459.004,-0.0723661
26,10.6202,10,458.935,-0.0720731
26.1,10.613,10,458.877,-0.0717707
26.2,10.6058,10,458.83,-0.0714594
26.3,10.5986,10,458.792,-0.0711394
26.4,10.5915,10,458.765,-0.070811
26.5,10.5844,10,458.747,-0.0704744
26.6,10.5774,10,458.74,-0.07013
26.7,10.5704,10,458.741,-0.0697779
26.8,10.5634,10,458.752,-0.0694184
26.9,10.5565,10,458.771,-0.0690518
27,10.5496,10,458.799,-0.0686783
27.1,10.5427,10,458.836,-0.0682982
27.2,10.5359,10,458.881,-0.0679116
27.3,10.5291,10,458.934,-0.0675189
27.4,10.5223,10,458.995,-0.0671203
27.5,10.5156,10,459.064,-0.0667159
27.6,10.5089,10,459.14,-0.0663061
27.7,10.5023,10,459.224,-0.065891
27.8,10.4957,10,459.315,-0.0654708
27.9,10.4892,10,459.412,-0.0650458
28,10.4827,10,459.517,-0.0646161
28.1,10.4762,10,459.628,-0.064182
28.2,10.4698,10,459.745,-0.0637436
28.3,10.4634,10,459.869,-0.0633013
28.4,10.4571,10,459.999,-0.062855
28.5,10.4508,10,460.134,-0.0624051
28.6,10.4445,10,460.276,-0.0619517
28.7,10.4384,10,460.423,-0.061495
28.8,10.4322,10,460.575,-0.0610352
28.9,10.4261,10,460.732,-0.0605725
29,10.42,10,460.895,-0.0601069
29.1,10.414,10,461.063,-0.0596388
29.2,10.4081,10,461.235,-0.0591682
29.3,10.4021,10,461.412,-0.0586953
