# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.2200,-3.9500,0.9823,0.9823
-0.2700,-3.9000,1.0198,1.0198
-0.3200,-3.9000,1.0112,1.0112
-0.3700,-3.8500,1.0548,1.0548
-0.4200,-3.8500,1.0440,1.0440
-0.4700,-3.8000,1.0735,1.0735
-0.5200,-3.8000,1.0595,1.0595
-0.5700,-3.7500,1.0689,1.0689
-0.6200,-3.7500,1.0735,1.0735
-0.6700,-3.7500,1.0512,1.0512
-0.7200,-3.7500,1.0296,1.0296
-0.7700,-3.7000,1.0512,1.0512
-0.8200,-3.7000,1.0308,1.0308
-0.8700,-3.6500,1.0595,1.0595
-0.9200,-3.6500,1.0440,1.0440
-0.9700,-3.6000,1.0512,1.0512
-1.0200,-3.6000,1.0689,1.0689
-1.0700,-3.6000,1.0595,1.0595
-1.1200,-3.5500,1.0817,1.0817
-1.1700,-3.5000,1.0700,1.0700
-1.2200,-3.5000,1.0966,1.0966
-1.2700,-3.4500,1.0966,1.0966
-1.3200,-3.4000,1.0966,1.0966
-1.3700,-3.3500,1.0817,1.0817
-1.4200,-3.3000,1.0700,1.0700
-1.4700,-3.2500,1.0512,1.0512
-1.4700,-3.2000,1.0607,1.0607
-1.5200,-3.1500,1.0548,1.0548
-1.5700,-3.1000,1.0404,1.0404
-1.6200,-3.0500,1.0308,1.0308
-1.6200,-3.0000,1.0548,1.0548
-1.6200,-2.9500,1.0296,1.0296
-1.6700,-2.9000,1.0512,1.0512
-1.6700,-2.8500,1.0296,1.0296
