# x_m,y_m,w_tr_right_m,w_tr_left_m
1.1400,-5.2500,0.7616,0.7616
1.0900,-5.2000,0.7826,0.7826
1.0400,-5.1500,0.7810,0.7810
0.9900,-5.1000,0.7778,0.7778
0.9400,-5.0500,0.7778,0.7778
0.8900,-5.0000,0.7778,0.7778
0.8400,-4.9500,0.7778,0.7778
0.8400,-4.9000,0.7810,0.7810
0.7900,-4.8500,0.7906,0.7906
0.7400,-4.8000,0.8062,0.8062
0.6900,-4.7500,0.8139,0.8139
0.6400,-4.7000,0.8139,0.8139
0.5900,-4.6500,0.8139,0.8139
0.5400,-4.6000,0.8139,0.8139
0.4900,-4.5500,0.8139,0.8139
0.4400,-4.5000,0.8139,0.8139
0.3900,-4.4500,0.8139,0.8139
0.3400,-4.4000,0.8139,0.8139
0.2900,-4.3500,0.8139,0.8139
0.2400,-4.3500,0.8139,0.8139
0.1900,-4.3000,0.8201,0.8201
0.1400,-4.2500,0.8322,0.8322
0.0900,-4.2000,0.8485,0.8485
0.0400,-4.1500,0.8322,0.8322
-0.0100,-4.1000,0.8201,0.8201
-0.0600,-4.1000,0.8201,0.8201
-0.1100,-4.0500,0.8322,0.8322
-0.1600,-4.0000,0.8276,0.8276
-0.2100,-3.9500,0.8062,0.8062
-0.2600,-3.9000,0.7906,0.7906
-0.3100,-3.9000,0.8139,0.8139
-0.3600,-3.8500,0.8062,0.8062
-0.4100,-3.8000,0.7826,0.7826
-0.4600,-3.8000,0.8062,0.8062
-0.5100,-3.7500,0.7762,0.7762
-0.5600,-3.7500,0.7906,0.7906
-0.6100,-3.7000,0.7566,0.7566
-0.6600,-3.7000,0.7649,0.7649
-0.7100,-3.6500,0.7280,0.7280
-0.7600,-3.6500,0.7433,0.7433
-0.8100,-3.6000,0.7159,0.7159
-0.8600,-3.6000,0.7382,0.7382
-0.9100,-3.5500,0.7159,0.7159
-0.9600,-3.5500,0.7382,0.7382
-1.0100,-3.5500,0.7382,0.7382
-1.0600,-3.5000,0.7382,0.7382
-1.1100,-3.5000,0.7382,0.7382
-1.1600,-3.4500,0.7500,0.7500
-1.2100,-3.4500,0.7382,0.7382
-1.2600,-3.4000,0.7500,0.7500
-1.3100,-3.3500,0.7632,0.7632
-1.3600,-3.3000,0.7778,0.7778
-1.4100,-3.3000,0.7500,0.7500
-1.4600,-3.2500,0.7500,0.7500
-1.4600,-3.2000,0.7810,0.7810
-1.4600,-3.1500,0.7500,0.7500
-1.5100,-3.1000,0.7632,0.7632
-1.5100,-3.0500,0.7382,0.7382
-1.5100,-3.0000,0.7159,0.7159
-1.5600,-2.9500,0.7433,0.7433
-1.5600,-2.9000,0.7280,0.7280
-1.5600,-2.8500,0.7159,0.7159
-1.6100,-2.8000,0.7566,0.7566
-1.6100,-2.7500,0.7517,0.7517
-1.6100,-2.7000,0.7500,0.7500
-1.6100,-2.6500,0.7500,0.7500
-1.6100,-2.6000,0.7500,0.7500
