# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.6600,0.6900,0.2236,0.2236
-1.7100,0.6400,0.2550,0.2550
-1.7600,0.5900,0.3000,0.3000
-1.8100,0.5400,0.3536,0.3536
-1.8600,0.4900,0.4123,0.4123
-1.9100,0.4400,0.4743,0.4743
-1.9600,0.3900,0.5385,0.5385
-2.0100,0.3400,0.6042,0.6042
-2.0100,0.2900,0.6265,0.6265
-2.0600,0.3400,0.6500,0.6500
-2.1100,0.3400,0.6708,0.6708
-2.1600,0.3400,0.6500,0.6500
-2.2100,0.3900,0.6801,0.6801
-1.9600,0.2400,0.6103,0.6103
-1.9100,0.1900,0.6021,0.6021
-1.9100,0.1400,0.6364,0.6364
-1.9100,0.0900,0.6103,0.6103
-1.9100,0.0400,0.5831,0.5831
-1.9100,-0.0100,0.5590,0.5590
-1.8600,-0.0600,0.5852,0.5852
-1.3600,0.7400,0.0707,0.0707
-1.2600,0.4900,0.0500,0.0500
-1.1600,0.4900,0.0707,0.0707
-1.1600,0.5400,0.0500,0.0500
-1.1100,0.5900,0.0500,0.0500
-1.0600,0.5400,0.0500,0.0500
-1.0600,0.4900,0.0707,0.0707
-1.0600,0.4400,0.1118,0.1118
-1.0100,0.4400,0.1414,0.1414
-0.9600,0.4900,0.1581,0.1581
-0.9100,0.5400,0.2000,0.2000
-0.9100,0.5900,0.2062,0.2062
-0.8600,0.6400,0.2062,0.2062
-0.8600,0.6900,0.2000,0.2000
-0.8100,0.7400,0.1581,0.1581
-0.7600,0.7400,0.1803,0.1803
-0.7100,0.7400,0.1581,0.1581
-0.6600,0.7400,0.1500,0.1500
-0.6100,0.7400,0.1581,0.1581
-0.5600,0.7400,0.1803,0.1803
-0.5100,0.7400,0.2000,0.2000
-0.4600,0.6900,0.2236,0.2236
-0.4100,0.6400,0.2550,0.2550
-0.3600,0.5900,0.2550,0.2550
-0.3100,0.5400,0.2000,0.2000
-0.2600,0.4900,0.1581,0.1581
-0.2100,0.4900,0.1118,0.1118
-0.1600,0.4900,0.0707,0.0707
-0.1600,0.5400,0.0500,0.0500
-0.1100,0.5900,0.0500,0.0500
-0.0600,0.5400,0.0500,0.0500
-0.1100,0.4900,0.0500,0.0500
-0.1100,0.4400,0.1000,0.1000
-0.1100,0.3900,0.1500,0.1500
-0.1100,0.3400,0.2000,0.2000
-0.0600,0.3400,0.2062,0.2062
-0.0100,0.3400,0.2236,0.2236
0.0400,0.3400,0.2500,0.2500
0.0900,0.3400,0.2828,0.2828
0.1400,0.3400,0.3162,0.3162
0.1900,0.3400,0.3041,0.3041
0.2400,0.3400,0.3000,0.3000
0.2400,0.3900,0.2500,0.2500
0.2400,0.4400,0.2000,0.2000
0.2400,0.4900,0.1500,0.1500
0.2400,0.5400,0.1000,0.1000
0.2400,0.5900,0.0500,0.0500
0.1900,0.5900,0.0707,0.0707
0.1900,0.6400,0.0500,0.0500
0.2400,0.6900,0.0500,0.0500
0.2900,0.6400,0.0500,0.0500
0.2900,0.3400,0.3041,0.3041
0.3400,0.3400,0.3162,0.3162
0.3900,0.3400,0.3354,0.3354
0.4400,0.3400,0.3606,0.3606
0.4900,0.3400,0.3905,0.3905
0.5400,0.3400,0.4243,0.4243
0.5900,0.3400,0.4610,0.4610
0.6400,0.3400,0.5000,0.5000
0.6900,0.3400,0.5408,0.5408
0.7400,0.3400,0.5831,0.5831
0.7900,0.3400,0.6000,0.6000
0.8400,0.2900,0.5500,0.5500
0.8400,0.2400,0.5523,0.5523
0.8400,0.1900,0.5590,0.5590
0.8400,0.1400,0.5701,0.5701
0.8400,0.0900,0.5852,0.5852
0.8400,0.0400,0.6042,0.6042
0.8400,-0.0100,0.5852,0.5852
0.8400,-0.0600,0.5701,0.5701
0.8400,-0.1100,0.5590,0.5590
0.8400,-0.1600,0.5523,0.5523
0.8400,-0.2100,0.5500,0.5500
0.8400,-0.2600,0.5500,0.5500
0.8400,-0.3100,0.5500,0.5500
0.8900,-0.3100,0.5701,0.5701
0.9400,-0.3100,0.5852,0.5852
0.9900,-0.3100,0.6000,0.6000
1.0400,-0.3100,0.6021,0.6021
1.0900,-0.3100,0.6083,0.6083
1.1400,-0.3100,0.6185,0.6185
1.1900,-0.3100,0.6042,0.6042
1.2400,-0.3100,0.5852,0.5852
1.2900,-0.3100,0.5701,0.5701
1.3400,-0.3600,0.6083,0.6083
1.3900,-0.3600,0.6021,0.6021
1.4400,-0.3600,0.6000,0.6000
1.4900,-0.3600,0.6000,0.6000
1.5400,-0.3600,0.6021,0.6021
1.5900,-0.3600,0.6083,0.6083
1.6400,-0.3600,0.6185,0.6185
1.6900,-0.3600,0.6325,0.6325
1.7400,-0.3600,0.6500,0.6500
1.7900,-0.3600,0.6708,0.6708
1.8400,-0.3600,0.6946,0.6946
1.8900,-0.4100,0.7616,0.7616
1.9400,-0.4100,0.7762,0.7762
1.9900,-0.4100,0.7906,0.7906
2.0400,-0.4100,0.8078,0.8078
2.0900,-0.4600,0.7762,0.7762
2.1400,-0.4600,0.7906,0.7906
2.1900,-0.4100,0.8500,0.8500
2.2400,-0.3600,0.8500,0.8500
2.2900,-0.3100,0.8322,0.8322
2.3400,-0.3100,0.8602,0.8602
2.3900,-0.3100,0.8860,0.8860
2.4400,-0.3100,0.8732,0.8732
2.4900,-0.2600,0.8139,0.8139
2.5400,-0.2600,0.8062,0.8062
2.5900,-0.2600,0.8016,0.8016
2.6400,-0.2600,0.8000,0.8000
2.6900,-0.2600,0.8000,0.8000
2.7400,-0.2600,0.8016,0.8016
2.7900,-0.2600,0.8062,0.8062
2.8400,-0.2100,0.7649,0.7649
2.8900,-0.2100,0.7762,0.7762
2.9400,-0.2100,0.7906,0.7906
2.9900,-0.2100,0.8078,0.8078
3.0400,-0.1600,0.7826,0.7826
3.0900,-0.1600,0.8062,0.8062
3.1400,-0.1600,0.7906,0.7906
3.1900,-0.1600,0.7433,0.7433
3.2400,-0.1600,0.6964,0.6964
3.2900,-0.1600,0.6500,0.6500
3.2900,-0.1100,0.6325,0.6325
3.2900,-0.0600,0.6185,0.6185
3.3400,-0.0100,0.5590,0.5590
3.3400,0.0400,0.5523,0.5523
3.3900,0.0900,0.5000,0.5000
3.4400,0.1400,0.4528,0.4528
