# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.2100,-15.8000,1.0440,1.0440
-1.2600,-15.8000,1.0308,1.0308
-1.3100,-15.8000,1.0198,1.0198
-1.3600,-15.8000,1.0112,1.0112
-1.4100,-15.8000,1.0050,1.0050
-1.4600,-15.8000,1.0012,1.0012
-1.5100,-15.7500,1.0308,1.0308
-1.5100,-15.8500,0.9500,0.9500
-1.5600,-15.8500,0.9500,0.9500
-1.6100,-15.9000,0.9000,0.9000
-1.6600,-15.9000,0.9000,0.9000
-1.7100,-15.9000,0.9000,0.9000
-1.7600,-15.9000,0.9000,0.9000
-1.8100,-15.9500,0.8500,0.8500
-1.8600,-15.9500,0.8500,0.8500
-1.9100,-15.9500,0.8500,0.8500
-1.9600,-15.9500,0.8500,0.8500
-2.0100,-15.9500,0.8500,0.8500
-2.0600,-15.9500,0.8500,0.8500
-2.1100,-15.9500,0.8500,0.8500
-2.1600,-15.9500,0.8500,0.8500
-2.2100,-15.9500,0.8515,0.8515
-2.2600,-15.9500,0.8559,0.8559
-2.3100,-15.9500,0.8631,0.8631
-2.3600,-15.9500,0.8732,0.8732
-2.4100,-15.9500,0.8860,0.8860
-2.4600,-15.9500,0.9000,0.9000
-2.5100,-15.9500,0.9000,0.9000
-2.5600,-15.9500,0.8860,0.8860
-2.6100,-15.9500,0.8732,0.8732
-2.6600,-15.9500,0.8631,0.8631
-2.7100,-15.9500,0.8559,0.8559
-2.7600,-15.9500,0.8515,0.8515
-2.8100,-15.9500,0.8500,0.8500
-2.8600,-16.0000,0.9000,0.9000
-2.9100,-16.0000,0.9000,0.9000
-2.9600,-16.0000,0.9000,0.9000
-3.0100,-16.0000,0.9000,0.9000
-3.0600,-16.0000,0.9000,0.9000
-3.1100,-16.0000,0.9000,0.9000
-3.1600,-16.0000,0.9014,0.9014
-3.2100,-16.0500,0.9552,0.9552
-3.2600,-16.0500,0.9618,0.9618
-3.3100,-16.0500,0.9708,0.9708
-3.3600,-16.1000,0.9487,0.9487
-3.4100,-16.1000,0.9657,0.9657
-3.4600,-16.1000,0.9823,0.9823
-3.5100,-16.1000,0.9962,0.9962
-3.5600,-16.1500,0.9618,0.9618
-3.6100,-16.1500,0.9708,0.9708
-3.6600,-16.1500,0.9823,0.9823
-3.7100,-16.2000,0.9487,0.9487
-3.7600,-16.2000,0.9657,0.9657
-3.8100,-16.2000,0.9823,0.9823
-3.8600,-16.2500,0.9487,0.9487
-3.9100,-16.2500,0.9657,0.9657
-3.9600,-16.3000,0.9394,0.9394
-4.0100,-16.3000,0.9618,0.9618
-4.0600,-16.3000,0.9849,0.9849
-4.1100,-16.3000,0.9618,0.9618
-4.1600,-16.3500,0.9849,0.9849
-4.2100,-16.3500,0.9657,0.9657
-4.2600,-16.4000,0.9708,0.9708
-4.3100,-16.4500,0.9341,0.9341
-4.3600,-16.5000,0.9014,0.9014
-4.4100,-16.5500,0.8732,0.8732
-4.4600,-16.6000,0.8500,0.8500
-4.4600,-16.6500,0.8732,0.8732
-4.5100,-16.7000,0.8500,0.8500
-4.5600,-16.7500,0.8322,0.8322
-4.5600,-16.8000,0.8515,0.8515
-4.6100,-16.8500,0.8485,0.8485
-4.6600,-16.9000,0.8485,0.8485
-4.7100,-16.9500,0.8485,0.8485
-4.7600,-17.0000,0.8485,0.8485
-4.8100,-17.0500,0.8515,0.8515
-4.8600,-17.1000,0.8602,0.8602
-4.9100,-17.1500,0.8746,0.8746
-4.9600,-17.1500,0.8500,0.8500
-5.0100,-17.2000,0.8732,0.8732
