# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.6100,-11.0500,0.7566,0.7566
-1.6100,-11.0000,0.7517,0.7517
-1.5600,-10.9500,0.7906,0.7906
-1.5600,-10.9000,0.7762,0.7762
-1.5100,-10.8500,0.7906,0.7906
-1.4600,-10.8000,0.8062,0.8062
-1.4100,-10.7500,0.8139,0.8139
-1.4100,-10.7000,0.8078,0.8078
-1.3600,-10.6500,0.8201,0.8201
-1.3100,-10.6000,0.8322,0.8322
-1.2600,-10.5500,0.8485,0.8485
-1.2100,-10.5000,0.8485,0.8485
-1.1600,-10.4500,0.8485,0.8485
-1.1100,-10.4000,0.8485,0.8485
-1.0600,-10.3500,0.8485,0.8485
-1.0100,-10.3000,0.8515,0.8515
-0.9600,-10.3000,0.8322,0.8322
-0.9100,-10.2500,0.8500,0.8500
-0.8600,-10.2000,0.8732,0.8732
-0.8100,-10.1500,0.8846,0.8846
-0.7600,-10.1000,0.8846,0.8846
-0.7100,-10.0500,0.8746,0.8746
-0.6600,-10.0500,0.8746,0.8746
